,strikePrice,expiryDate_x,underlying_x,identifier_x,openInterest_x,changeinOpenInterest_x,pchangeinOpenInterest_x,totalTradedVolume_x,impliedVolatility_x,lastPrice_x,change_x,pChange_x,totalBuyQuantity_x,totalSellQuantity_x,bidQty_x,bidprice_x,askQty_x,askPrice_x,underlyingValue_x,expiryDate_y,underlying_y,identifier_y,openInterest_y,changeinOpenInterest_y,pchangeinOpenInterest_y,totalTradedVolume_y,impliedVolatility_y,lastPrice_y,change_y,pChange_y,totalBuyQuantity_y,totalSellQuantity_y,bidQty_y,bidprice_y,askQty_y,askPrice_y,underlyingValue_y
0,9300,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9300.00,1,0,0.0,0,0,3390.2,0.0,0.0,9150,8100,300,3361.5,75,3426.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9300.00,5310,1574,42.13062098501071,5899,0,0.05,-0.7999999999999999,-94.11764705882352,0,113625,0,0.0,25500,0.1,12690.8
1,9350,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9350.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,4875,3144.55,1500,3448.35,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9350.00,98,-4,-3.9215686274509802,6253,0,0.05,-0.95,-95.0,0,64200,0,0.0,3000,0.1,12690.8
2,9400,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9400.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,7350,1500,3113.8,975,3339.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9400.00,452,145,47.23127035830619,1333,0,0.05,-0.85,-94.44444444444444,0,49575,0,0.0,300,0.05,12690.8
3,9450,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9450.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,4875,3050.0,1500,3348.8,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9450.00,534,451,543.3734939759037,1911,0,0.05,-0.85,-94.44444444444444,0,50700,0,0.0,2100,0.15,12690.8
4,9500,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9500.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,7350,1500,3003.3,975,3238.95,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9500.00,5188,-34,-0.6510915358100344,3657,0,0.05,-0.85,-94.44444444444444,0,82650,0,0.0,3975,0.05,12690.8
5,9550,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9550.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,1500,2971.15,1500,3240.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9550.00,85,0,0.0,42,0,0.05,-0.85,-94.44444444444444,0,57450,0,0.0,3000,0.1,12690.8
6,9600,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9600.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,7350,1500,2922.7,975,3139.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9600.00,66,0,0.0,74,0,0.05,-0.6499999999999999,-92.85714285714285,0,68475,0,0.0,1950,0.05,12690.8
7,9650,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9650.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,4875,2860.8,1500,3136.95,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9650.00,67,67,0.0,2496,0,0.05,-64.85000000000001,-99.92295839753467,0,59400,0,0.0,300,0.1,12690.8
8,9700,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9700.00,1,0,0.0,0,0,2889.65,0.0,0.0,6375,7350,4875,2802.9,975,3039.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9700.00,325,227,231.6326530612245,1215,0,0.05,-0.85,-94.44444444444444,0,62325,0,0.0,2250,0.05,12690.8
9,9750,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9750.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,1500,2758.5,1500,3035.9,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9750.00,0,0,0.0,2856,0,0.05,-69.10000000000001,-99.92769342010124,0,52575,0,0.0,75,0.2,12690.8
10,9800,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9800.00,0,0,0.0,0,0,0.0,0.0,0.0,6450,7425,1500,2770.6,75,2911.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9800.00,364,-85,-18.93095768374165,330,0,0.1,-0.8,-88.8888888888889,0,54075,0,0.0,4800,0.1,12690.8
11,9850,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9850.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,4875,2653.1,1500,2934.45,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9850.00,28,28,0.0,28,0,0.05,-82.25,-99.93924665856623,0,52200,0,0.0,2100,0.05,12690.8
12,9900,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9900.00,0,0,0.0,0,0,0.0,0.0,0.0,6450,7425,1500,2682.95,75,2808.55,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9900.00,262,34,14.912280701754385,1419,0,0.05,-0.7999999999999999,-94.11764705882352,0,95550,0,0.0,17175,0.1,12690.8
13,9950,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE9950.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,4875,2554.45,1500,2831.65,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE9950.00,0,0,0.0,0,0,0.0,0.0,0.0,0,45075,0,0.0,75,0.15,12690.8
14,10000,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10000.00,2,0,0.0,0,0,2630.0,0.0,0.0,7350,7350,975,2645.35,975,2739.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10000.00,14041,-1262,-8.246749003463373,10217,0,0.05,-0.8999999999999999,-94.73684210526315,0,105075,0,0.0,20175,0.05,12690.8
15,10050,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10050.00,0,0,0.0,0,0,0.0,0.0,0.0,6450,6450,1500,2536.45,1500,2794.55,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10050.00,13,-13,-50.0,31,0,0.05,-1.0,-95.23809523809523,0,52500,0,0.0,4050,0.2,12690.8
16,10100,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10100.00,0,0,0.0,0,0,0.0,0.0,0.0,7350,7425,975,2545.35,75,2629.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10100.00,434,-82,-15.891472868217054,2058,0,0.1,-0.85,-89.47368421052632,0,51450,0,0.0,8850,0.1,12690.8
17,10150,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10150.00,0,0,0.0,0,0,0.0,0.0,0.0,6450,6450,1500,2451.65,1500,2610.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10150.00,105,-11,-9.482758620689655,14,0,0.05,-0.7999999999999999,-94.11764705882352,0,44100,0,0.0,75,0.1,12690.8
18,10200,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10200.00,25,0,0.0,0,0,2487.3,0.0,0.0,7350,7425,975,2445.35,75,2529.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10200.00,539,-339,-38.61047835990888,2824,0,0.05,-0.8999999999999999,-94.73684210526315,0,52500,0,0.0,825,0.05,12690.8
19,10250,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10250.00,0,0,0.0,0,0,0.0,0.0,0.0,6450,6450,1500,2346.9,1500,2517.9,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10250.00,344,-1,-0.2898550724637681,1,0,0.05,-1.25,-96.15384615384615,0,57150,0,0.0,2100,0.2,12690.8
20,10300,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10300.00,0,0,0.0,0,0,0.0,0.0,0.0,7350,7425,975,2345.35,75,2429.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10300.00,711,-3,-0.42016806722689076,861,0,0.05,-0.8999999999999999,-94.73684210526315,0,52650,0,0.0,9000,0.1,12690.8
21,10350,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10350.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6375,1500,2225.6,1500,2416.3,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10350.00,299,1,0.33557046979865773,13,0,0.05,-1.3,-96.29629629629629,0,53400,0,0.0,3000,0.1,12690.8
22,10400,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10400.00,0,0,0.0,0,0,0.0,0.0,0.0,7350,7425,975,2245.35,75,2329.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10400.00,1006,-27,-2.6137463697967087,696,0,0.05,-0.95,-95.0,0,46425,0,0.0,3600,0.1,12690.8
23,10450,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10450.00,0,0,0.0,0,0,0.0,0.0,0.0,6375,6450,1500,2115.75,1500,2367.15,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10450.00,128,-1,-0.7751937984496124,2,0,0.15,-0.9500000000000001,-86.36363636363636,0,44850,0,0.0,75,0.1,12690.8
24,10500,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10500.00,3,0,0.0,0,0,2196.4,97.59999999999991,4.650276348389551,7350,7350,975,2145.35,975,2229.25,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10500.00,12833,-1536,-10.689679170436357,10380,0,0.05,-1.0,-95.23809523809523,0,142125,0,0.0,40275,0.05,12690.8
25,10550,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10550.00,6,0,0.0,0,0,2199.45,0.0,0.0,6375,6375,4875,2007.75,1500,2221.35,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10550.00,47,-1,-2.0833333333333335,5,0,0.05,-0.75,-93.75,0,56250,0,0.0,2100,0.15,12690.8
26,10600,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10600.00,1,0,0.0,0,0,1219.6,0.0,0.0,7350,7425,975,2045.35,75,2129.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10600.00,820,-99,-10.772578890097932,718,0,0.05,-0.95,-95.0,0,64425,0,0.0,14025,0.1,12690.8
27,10650,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10650.00,1,0,0.0,0,0,1929.5,0.0,0.0,6375,6375,1500,1919.85,1500,2116.75,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10650.00,96,10,11.627906976744185,56,0,0.05,-0.8999999999999999,-94.73684210526315,0,65925,0,0.0,3450,0.15,12690.8
28,10700,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10700.00,2,0,0.0,0,0,1763.05,0.0,0.0,7350,7425,975,1945.35,1050,2030.0,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10700.00,985,-221,-18.325041459369817,806,0,0.1,-1.0,-90.9090909090909,0,60075,0,0.0,11250,0.1,12690.8
29,10750,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10750.00,1,0,0.0,0,0,1712.7,0.0,0.0,6375,6375,1500,1825.2,1500,2010.95,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10750.00,179,-1,-0.5555555555555556,7,0,0.1,-1.0999999999999999,-91.66666666666666,0,59025,0,0.0,75,0.05,12690.8
30,10800,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10800.00,2,0,0.0,0,0,1683.2,0.0,0.0,6375,7425,1500,1777.1,1050,1930.0,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10800.00,2750,-352,-11.347517730496454,1340,0,0.05,-1.0,-95.23809523809523,0,54975,0,0.0,1275,0.05,12690.8
31,10850,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10850.00,2,0,0.0,0,0,1381.3,0.0,0.0,6375,6375,1500,1729.35,1500,1906.35,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10850.00,136,-3,-2.158273381294964,21,0,0.05,-1.0999999999999999,-95.65217391304347,0,51225,0,0.0,75,0.1,12690.8
32,10900,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10900.00,2,0,0.0,0,0,1832.35,0.0,0.0,6375,7425,1500,1681.8,1050,1830.0,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10900.00,2132,-179,-7.745564690610125,720,0,0.05,-1.0,-95.23809523809523,0,54600,0,0.0,3075,0.05,12690.8
33,10950,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE10950.00,2,0,0.0,0,0,1281.7,0.0,0.0,6375,6375,1500,1634.3,1500,1803.85,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE10950.00,130,-3,-2.255639097744361,36,0,0.05,-1.15,-95.83333333333333,0,56325,0,0.0,900,0.15,12690.8
34,11000,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11000.00,57,-106,-65.03067484662577,155,0,1692.75,-39.25,-2.266166281755196,9375,10650,3000,1650.1,75,1719.85,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11000.00,15635,-3629,-18.83824750830565,14308,0,0.05,-1.0,-95.23809523809523,0,125475,0,0.0,24750,0.05,12690.8
35,11050,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11050.00,3,0,0.0,0,0,1182.15,0.0,0.0,6375,6375,1500,1539.3,1500,1871.4,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11050.00,174,-4,-2.247191011235955,8,0,0.1,-0.9500000000000001,-90.47619047619048,0,63900,0,0.0,75,0.05,12690.8
36,11100,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11100.00,36,-14,-28.0,53,0,1597.45,112.45000000000005,7.5723905723905744,9975,11100,600,1554.4,450,1614.85,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11100.00,3494,-53,-1.4942204680011277,2407,0,0.05,-0.8999999999999999,-94.73684210526315,0,152775,0,0.0,52050,0.05,12690.8
37,11150,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11150.00,2,0,0.0,0,0,1082.7,0.0,0.0,6375,6375,1500,1449.65,4875,1712.4,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11150.00,154,17,12.408759124087592,98,0,0.1,-0.9,-90.0,0,57675,0,0.0,150,0.05,12690.8
38,11200,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11200.00,36,-51,-58.62068965517241,70,0,1491.8,-53.350000000000136,-3.45273921625733,9975,11625,600,1456.2,75,1491.0,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11200.00,4131,-905,-17.97061159650516,3103,0,0.05,-0.95,-95.0,0,96900,0,0.0,37950,0.05,12690.8
39,11250,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11250.00,3,0,0.0,1,0,1425.0,441.54999999999995,44.89806294168488,6375,6375,4875,1347.7,1500,1512.2,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11250.00,271,33,13.865546218487395,154,0,0.05,-1.0999999999999999,-95.65217391304347,0,60750,0,0.0,5025,0.05,12690.8
40,11300,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11300.00,117,-79,-40.30612244897959,155,0,1395.55,-61.799999999999955,-4.240573643942771,12150,10950,1500,1386.0,75,1396.65,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11300.00,3334,-1238,-27.077865266841645,2882,0,0.05,-1.15,-95.83333333333333,0,97350,0,0.0,47775,0.05,12690.8
41,11350,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11350.00,5,0,0.0,0,0,1153.25,0.0,0.0,6525,6375,150,1339.65,1500,1409.55,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11350.00,286,-194,-40.416666666666664,592,0,0.05,-1.15,-95.83333333333333,0,61650,0,0.0,3825,0.05,12690.8
42,11400,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11400.00,247,-99,-28.612716763005782,127,0,1292.5,-48.65000000000009,-3.6274838757782564,10650,11250,75,1289.0,75,1292.55,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11400.00,3573,-1279,-26.360263808738665,3633,0,0.05,-1.25,-96.15384615384615,0,100800,0,0.0,31050,0.05,12690.8
43,11450,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11450.00,15,-1,-6.25,2,0,1219.35,74.34999999999991,6.49344978165938,7425,6600,825,1239.65,1500,1299.05,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11450.00,646,-44,-6.3768115942028984,526,0,0.05,-1.25,-96.15384615384615,0,75750,0,0.0,6900,0.1,12690.8
44,11500,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11500.00,495,-457,-48.00420168067227,524,0,1190.5,-56.59999999999991,-4.538529388180572,24600,16350,600,1190.0,150,1193.75,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11500.00,19389,-3329,-14.653578660093318,23154,0,0.05,-1.45,-96.66666666666667,0,121800,0,0.0,28950,0.05,12690.8
45,11550,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11550.00,60,0,0.0,14,0,1140.0,-55.700000000000045,-4.658359120180651,14400,16800,975,1139.75,75,1169.85,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11550.00,1097,363,49.45504087193461,2921,0,0.05,-1.4,-96.55172413793103,0,143250,0,0.0,43050,0.05,12690.8
46,11600,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11600.00,217,-184,-45.885286783042396,245,0,1093.0,-54.84999999999991,-4.778498932787378,17775,14925,75,1091.1,3000,1119.9,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11600.00,7001,-1615,-18.744196843082637,10493,0,0.05,-1.5,-96.77419354838709,0,120075,0,0.0,16050,0.05,12690.8
47,11650,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11650.00,120,-8,-6.25,41,0,1042.45,-63.5,-5.741670057416701,12375,13875,1500,1000.35,450,1041.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11650.00,1096,-376,-25.543478260869566,3401,0,0.05,-1.5999999999999999,-96.96969696969697,0,98100,0,0.0,13725,0.1,12690.8
48,11700,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11700.00,466,-150,-24.350649350649352,468,0,992.2,-60.899999999999864,-5.782926597664027,16125,17175,750,970.0,300,991.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11700.00,8089,-3745,-31.64610444482001,14471,0,0.05,-1.65,-97.05882352941177,0,156225,0,0.0,48075,0.05,12690.8
49,11750,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11750.00,340,-41,-10.761154855643044,158,0,942.5,-63.14999999999998,-6.279520707999799,22125,17700,1500,901.5,3000,941.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11750.00,2176,-298,-12.045270816491511,2166,0,0.1,-1.75,-94.5945945945946,0,144075,0,0.0,225,0.05,12690.8
50,11800,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020CE11800.00,680,-229,-25.19251925192519,593,0,891.1,-60.19999999999993,-6.328182487122877,20625,19425,75,864.0,3000,891.1,12690.8,12-Nov-2020,NIFTY,OPTIDXNIFTY12-11-2020PE11800.00,12956,-5848,-31.099766007232503,23293,0,0.05,-1.9,-97.43589743589743,0,163350,0,0.0,7575,0.05,12690.8
